,T,S,o,h,l,c,v,t,n,vw
464,b,LIN,444.92,444.93,444.92,444.93,747,2024-08-07T19:38:00Z,19,444.911914
465,b,GE,162.665,162.73,162.655,162.705,602,2024-08-07T19:38:00Z,8,162.683671
466,b,AVGO,138.2,138.465,138.15,138.15,5154,2024-08-07T19:38:00Z,42,138.31914
467,b,LLY,771.495,772.01,771.38,772.01,636,2024-08-07T19:38:00Z,17,771.553498
468,b,WELL,115.92,115.92,115.92,115.92,211,2024-08-07T19:38:00Z,5,115.882275
469,b,UNP,238.41,238.41,238.41,238.41,226,2024-08-07T19:38:00Z,8,238.396726
470,b,XOM,116.295,116.295,116.27,116.27,323,2024-08-07T19:38:00Z,6,116.281099
471,b,COST,815.36,815.36,815.36,815.36,209,2024-08-07T19:38:00Z,5,815.374474
472,b,HD,344.67,344.67,344.67,344.67,441,2024-08-07T19:38:00Z,12,344.731587
473,b,CVX,143.26,143.26,143.18,143.18,787,2024-08-07T19:38:00Z,23,143.229936
474,b,WMT,67.055,67.07,67.055,67.07,1584,2024-08-07T19:38:00Z,18,67.061155
475,b,TSLA,193.29,193.46,193.16,193.16,2233,2024-08-07T19:38:00Z,32,193.308155
476,b,META,494.145,494.145,493.99,493.99,226,2024-08-07T19:38:00Z,9,494.097566
477,b,AMZN,162.92,162.945,162.82,162.82,1941,2024-08-07T19:38:00Z,31,162.91831
478,b,SHW,339.75,339.75,339.75,339.75,116,2024-08-07T19:38:00Z,3,339.746897
479,b,V,257.82,257.885,257.8,257.8,653,2024-08-07T19:38:00Z,18,257.831248
480,b,ECL,233.36,233.36,233.36,233.36,113,2024-08-07T19:38:00Z,2,233.350796
481,b,GOOGL,160.0,160.0,159.88,159.88,1695,2024-08-07T19:38:00Z,20,159.97249
482,b,MA,450.66,450.66,450.66,450.66,147,2024-08-07T19:38:00Z,6,450.697041
483,b,RTX,114.92,114.925,114.92,114.925,213,2024-08-07T19:38:00Z,5,114.919014
484,b,JNJ,159.4,159.4,159.32,159.32,204,2024-08-07T19:38:00Z,4,159.360784
485,b,AMT,227.01,227.01,227.01,227.01,225,2024-08-07T19:38:00Z,5,227.018222
486,b,NEE,77.85,77.85,77.805,77.805,505,2024-08-07T19:38:00Z,3,77.813861
487,b,EOG,123.39,123.415,123.33,123.33,1331,2024-08-07T19:38:00Z,23,123.376446
488,b,NVDA,100.31,100.435,100.12,100.17,6347,2024-08-07T19:38:00Z,54,100.312429
489,b,DUK,113.21,113.21,113.21,113.21,325,2024-08-07T19:38:00Z,7,113.236662
490,b,PLD,121.155,121.155,121.13,121.13,753,2024-08-07T19:38:00Z,7,121.134084
491,b,COP,107.35,107.35,107.35,107.35,350,2024-08-07T19:38:00Z,4,107.354286
492,b,JPM,201.75,201.78,201.75,201.78,260,2024-08-07T19:38:00Z,7,201.792
493,b,SO,86.995,87.01,86.95,86.95,300,2024-08-07T19:38:00Z,3,86.985
494,b,AAPL,210.91,210.97,210.78,210.86,2402,2024-08-07T19:38:00Z,28,210.906513
