symbol,Open,High,Low,Close,Volume,trade_count,vwap,bb_upper,bb_lower,bb_percent,RSI,Ultimate_Oscillator,MFI,Future_Close,Return,Signal
XOM,117.3,117.3,117.3,117.3,260.0,5.0,117.329923,,,,,,,117.37,0.0005967604433078209,0
XOM,117.45,117.45,117.45,117.45,230.0,4.0,117.45,,,,,,,117.4,-0.0004257130693912061,0
XOM,117.68,117.68,117.68,117.68,165.0,34.0,117.582121,,,,,,,117.5,-0.0015295717199184807,0
XOM,117.66,117.66,117.37,117.38,562.0,38.0,117.487456,,,,,,,117.66,0.0023854148918044057,0
XOM,117.5,117.5,117.5,117.5,1190.0,35.0,117.498319,,,,,,,117.53,0.0002553191489361799,0
XOM,117.55,117.55,117.55,117.55,442.0,9.0,117.549783,,,,,,,117.39,-0.0013611229264142628,0
XOM,117.56,117.56,117.56,117.56,201.0,3.0,117.557512,,,,,,,117.18,-0.003232391970057804,0
XOM,117.53,117.53,117.53,117.53,194.0,15.0,117.527629,,,,,,,117.14,-0.0033183017102016554,0
XOM,117.6,117.62,117.6,117.62,807.0,16.0,117.604622,,,,,,,116.95,-0.005696310151334821,0
XOM,117.61,117.61,117.61,117.61,1577.0,7.0,117.609918,,,,,,,116.89,-0.006121928407448337,0
XOM,117.37,117.37,117.37,117.37,200.0,1.0,117.37,,,,,,,116.8811,-0.004165459657493405,0
XOM,117.4,117.4,117.4,117.4,537.0,13.0,117.416201,,,,,,,117.0,-0.003407155025553711,0
XOM,117.5,117.5,117.5,117.5,1043.0,6.0,117.501074,,,,,,,117.14,-0.0030638297872340376,0
XOM,117.66,117.66,117.66,117.66,182.0,5.0,117.651703,,,,,,,116.86,-0.006799252082270927,0
XOM,117.53,117.53,117.53,117.53,311.0,25.0,117.54283,,,,56.969696969697004,,62.77449343462321,116.8,-0.006211180124223636,0
XOM,117.42,117.42,117.36,117.39,4571.0,39.0,117.382881,,,,52.199914566424674,,38.1309222052968,116.7999,-0.005026833631484852,0
XOM,117.32,117.39,117.08,117.18,10581.0,234.0,117.164336,,,,45.981070363831364,,19.68171455730313,116.73,-0.0038402457757296705,0
XOM,117.12,117.18,117.08,117.14,10744.0,200.0,117.125723,,,,44.88419149209011,,13.539378093730617,116.82,-0.002731773945706056,0
XOM,117.15,117.15,116.93,116.95,12735.0,272.0,117.061836,,,,40.00275353493262,,7.3001599764741245,116.7,-0.002137665669089354,0
XOM,116.98,116.98,116.88,116.89,2625.0,66.0,116.925238,117.84103099543071,116.97796900456925,-0.10192663505136997,38.575984362849155,,5.999645130491638,116.605,-0.0024381897510479646,0
XOM,116.82,116.97,116.73,116.8811,212929.0,1567.0,116.855796,117.87631261391189,116.90079738608804,-0.020191777151424763,38.35744136304651,,0.9969254848257759,116.57,-0.0026616792620878,0
XOM,116.865,117.1,116.76,117.0,58727.0,629.0,116.984445,117.88114954463289,116.85096045536709,0.14467202786930194,43.00310351381569,,19.31062849737471,116.5744,-0.003637606837606862,0
XOM,116.97,117.2,116.94,117.14,63597.0,475.0,117.111775,117.84196082608067,116.83614917391931,0.3020951541252834,47.97487294893584,,32.646478927690445,116.5,-0.00546354789141199,0
XOM,117.1294,117.138,116.86,116.86,28280.0,329.0,116.983884,117.85690581585477,116.76920418414521,0.08347492842507204,40.38705891632784,,30.505507926980613,116.56,-0.0025671743967139926,0
XOM,116.84,116.9399,116.79,116.8,19195.0,303.0,116.880326,117.85816629095736,116.69794370904263,0.0879626828060353,38.96488045936524,,29.14669327239498,116.46,-0.0029109589041096183,0
XOM,116.8263,116.865,116.75,116.7999,27240.0,243.0,116.81711,117.84207991115461,116.63902008884536,0.1337256121194628,38.96241787453056,,27.310662925114894,116.39,-0.0035094208128602276,0
XOM,116.79,116.8,116.71,116.73,47029.0,308.0,116.766154,117.8208794251755,116.57722057482447,0.12284673174835212,37.19295911821159,,24.586353171283736,116.37,-0.003084040092521198,0
XOM,116.74,116.94,116.74,116.82,16718.0,282.0,116.869019,117.7868164229708,116.54028357702917,0.22439554952884055,40.913715559717254,,27.00464704580034,116.48,-0.0029104605375790894,0
XOM,116.82,116.82,116.61,116.7,32962.0,417.0,116.696299,117.73504771985009,116.50005228014987,0.16190158556266854,37.70626585381143,37.41564939677445,25.398173072900526,116.48,-0.0018851756640959627,0
XOM,116.68,116.7,116.57,116.605,31203.0,342.0,116.616632,117.67987104406467,116.45472895593528,0.12265601314388379,35.34397500448376,31.520765242448107,24.224825778092676,116.23,-0.003215985592384546,0
XOM,116.585,116.6099,116.52,116.57,36881.0,401.0,116.572812,117.65973915439459,116.39486084560541,0.1384632443908695,34.48673766785244,37.11748697476144,23.16949407350405,116.19,-0.0032598438706356305,0
XOM,116.57,116.69,116.49,116.5744,37979.0,552.0,116.568926,117.6235196113069,116.34852038869306,0.17716058747382338,34.70115530211478,40.466877350369366,28.202580190061276,116.25,-0.00278277220384576,0
XOM,116.56,116.64,116.46,116.5,22110.0,400.0,116.52582,117.56117098529322,116.31086901470675,0.1512682453859793,32.74933978951155,38.653983068255584,27.791138456823838,116.135,-0.003133047210300385,0
XOM,116.48,116.642,116.45,116.56,14694.0,352.0,116.575642,117.43071314568526,116.33132685431472,0.20800072502287192,35.88148085173058,41.79138594013682,29.53337790288072,116.14,-0.003603294440631449,0
XOM,116.54,116.59,116.45,116.46,17789.0,379.0,116.521652,117.31938391859761,116.33565608140235,0.12640073188552506,33.11338118860121,37.98732509726987,42.228541573973544,116.03,-0.0036922548514510788,0
XOM,116.455,116.52,116.3805,116.39,21494.0,399.0,116.441391,117.23242451132593,116.32261548867403,0.07406445709843294,31.293479443438716,33.16636274616928,31.91074112228477,116.11,-0.0024057049574705827,0
XOM,116.38,116.39,116.28,116.37,22671.0,394.0,116.347442,117.18556608950489,116.28847391049509,0.09087816326178041,30.773085662656165,35.71174455761002,18.44044669291818,116.2,-0.0014608576093495032,0
XOM,116.39,116.49,116.36,116.48,22055.0,361.0,116.421891,117.12541159271377,116.2826284072862,0.2341902355511195,36.98036773643833,41.08712663215651,24.70790636619406,116.22,-0.002232142857142901,0
XOM,116.49,116.51,116.4501,116.48,20500.0,338.0,116.484983,117.09681032464367,116.26422967535633,0.259158466904514,36.98036773643833,42.49219103958693,30.14026890408082,116.22,-0.002232142857142901,0
XOM,116.475,116.475,116.2,116.23,40143.0,471.0,116.323375,117.09558128418242,116.19945871581761,0.03408159247470022,29.911084833369593,38.12908984982546,29.139523838768284,116.3648,0.0011597694226963646,0
XOM,116.23,116.23,116.17,116.19,13064.0,323.0,116.200295,117.08934269583786,116.13658730416215,0.056061289502552146,28.957265012323465,35.611914146510934,31.97594986357608,116.51,0.002754109647990424,0
XOM,116.17,116.25,116.1699,116.25,26550.0,389.0,116.200052,117.04204854995677,116.10888145004324,0.15122538071673772,32.43755535543052,42.02682233194792,33.812670746386786,116.53,0.002408602150537644,0
XOM,116.24,116.277,116.12,116.135,28548.0,440.0,116.212193,116.95260462208977,116.0978253779103,0.04349031910033472,29.45875457095635,41.106642754118944,34.24570232288243,116.56,0.003659534162827719,0
